,0,1,2,3,4,y,m
2,1,"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,17.0,2010,03
8,5,"р. Обь, протока Малая Обь,  с. Мужи",Тюменская область,Ионы цинка,150.0,2010,03
10,7,"р. Тагил, г. Нижний Тагил",Свердловская область,Ионы цинка,100.0,2010,03
12,1,"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,150.0,2010,03
14,3,"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,54.0,2010,03
15,4,"р. Аргунь, пос.Молоканка",Забайкальский край,Ионы марганца,78.0,2010,03
18,6,"р. Аргунь, с.Кути",Забайкальский край,Ионы марганца,109.0,2010,03
19,7,"р. Артынка,  | с. Костино",Омская область,Ионы марганца,65.0,2010,03
20,8,р. Большая Вязовка п.Тридцатый,Самарская область,Ионы марганца,424.0,2010,03
21,9,р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,468.0,2010,03
24,11,"р. Иртыш, г. Омск",Омская область,Ионы марганца,84.0,2010,03
25,12,"р. Исеть, 522,3 км выше устья, п. Двуреченск",Свердловская область,Взвешенные вещества,124.0,2010,03
26,13,"р. Исеть, 523.8 км выше устья, п. Двуреченск",Свердловская область,Взвешенные вещества,119.0,2010,03
27,14,"р. Кизел, г. Кизел (мост а/д Губаха-Александровск)",Пермский край,Ионы железа общего,3150.0,2010,03
30,16,"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,55.0,2010,03
31,17,"р. Кулой, д. Кулой",Архангельская область,Ионы марганца,104.0,2010,03
32,18,"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,62.0,2010,03
33,19,"р. Лая, 21.1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,69.0,2010,03
34,20,"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,70.0,2010,03
35,21,"р. Мезень, д. Малонисогорская",Архангельская область,Ионы марганца,155.0,2010,03
36,22,"р. Можель, г. Ковдор",Мурманская область,Ионы марганца,67.0,2010,03
37,23,"р. Нейва, г. Невьянск",Свердловская область,Ионы марганца,110.0,2010,03
38,24,"р. Ныда, п. Ныда",Тюменская область,Ионы железа общего,73.0,2010,03
46,29,"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,75.0,2010,03
47,30,"р. Пельшма, г. Сокол",Вологодская область,БПК | 5,8.0,2010,03
49,31,"р. Печенга, п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2010,03
50,32,"р. Плющиха ,  | г. Новосибирск",Новосибирская область,Ионы марганца,54.0,2010,03
54,35,"р. Пур, п. Самбург",Тюменская область,Ионы железа общего,176.0,2010,03
56,36,"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,86.0,2010,03
57,37,"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,66.0,2010,03
58,38,"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,630.0,2010,03
61,40,"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,51.0,2010,03
62,41,"р. Таз,  | с. Красноселькуп",Тюменская область,Ионы марганца,117.0,2010,03
63,42,"р. Тара, п. Муромцево",Омская область,Ионы марганца,71.0,2010,03
66,45,"р. Тобол,  | с. Звериноголовское",Курганская область,Ионы марганца,160.0,2010,03
67,46,"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,65.0,2010,03
68,47,"р. Тура, д. Тимофеево",Свердловская область,Ионы марганца,51.0,2010,03
69,48,"р. Уй, с. Усть-Уйское",Курганская область,Ионы марганца,80.0,2010,03
71,50,"р. Чапаевка, с.Прибой",Самарская область,Ионы марганца,69.0,2010,03
72,51,р.Большая Вязовка с.Каргай,Самарская область,Ионы марганца,242.0,2010,03
73,52,"р.Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,56.0,2010,03
74,53,"р.Нижняя Ельцовка, г.Новосибирск",Новосибирская область,Ионы марганца,55.0,2010,03
2,1,"оз. Б.Вудъявр,  | г. Кировск",Мурманская область,Ионы молибдена,15.0,2010,04
3,2,"р. Белая, г. Апатиты",Мурманская область,Ионы молибдена,16.0,2010,04
6,2,"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,04
8,3,"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,52.0,2010,04
12,5,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы меди,74.0,2010,04
14,6,"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,58.0,2010,04
15,7,"р. Лая, 21.1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,64.0,2010,04
16,8,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,142.0,2010,04
18,10,"р. Хауки-Лампи-Йоки, г. Заполярный",Мурманская область,Ионы меди,82.0,2010,04
23,1,"вдхр. Аргазинское,  | г. Карабаш",Челябинская область,Ионы марганца,115.0,2010,04
24,2,"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,56.0,2010,04
25,3,"оз. Бутырино,  | с. Бутырино",Челябинская область,Взвешенные вещества,79.0,2010,04
