obj,loc,p,v,y,m
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,120.0,2010,4
"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,76.0,2010,4
"р. Ница,  | с. Красносло-бодское",Свердловская область,Взвешенные вещества,67.0,2010,4
"р. Печенга,  | п. Корзуново",Мурманская область,Дитиофосфат крезиловый,60.0,2010,4
"р. Пур, п. Уренгой",Тюменская область,Ионы железа общего,87.0,2010,4
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,85.0,2010,4
"р. Пышма,  | г. Камышлов",Свердловская область,Взвешенные вещества,121.0,2010,4
"р. Пяку-Пур,  | п. Тарко-Сале",Тюменская область,Ионы железа общего,54.0,2010,4
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,150.0,2010,4
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,205.0,2010,4
"р. Сундовик,  | д. Семово",Нижегородская область,Взвешенные вещества,57.0,2010,4
"р. Тавда,  | рп. Нижняя Тавда",Тюменская область,Ионы марганца,134.0,2010,4
"р. Тагил,  | г. Нижний Тагил",Свердловская область,Ионы марганца,71.0,2010,4
"р. Теча,  | с. Першинское",Курганская область,Взвешенные вещества,95.0,2010,4
"р. Тобол,  | г. Тобольск",Тюменская область,Ионы марганца,59.0,2010,4
"р. Тобол,  | с. Белозерское",Курганская область,Ионы марганца,99.0,2010,4
"р. Тула,  | г. Новосибирск",Новосибирская область,Ионы марганца,72.0,2010,4
"р. Тура, с. Салаирка",Тюменская область,Ионы марганца,70.0,2010,4
"р. Уй, с. Усть-Уйское",Курганская область,Ионы марганца,57.0,2010,4
"р. Хауки-Лампи-Йоки, г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2010,4
"р. Чепца, г. Глазов",Удмуртская Республика,Взвешенные вещества,117.0,2010,4
"р. Чепца, с. Полом",Удмуртская Республика,Взвешенные вещества,293.0,2010,4
"р. Чусовая,  | г. Первоуральск",Свердловская область,Взвешенные вещества,54.0,2010,4
"р. Яйва, д. Усть-Игум",Пермский край,Взвешенные вещества,68.0,2010,4
"р.Камышенка,  | г. Новосибирск",Новосибирская область,Ионы марганца,59.0,2010,4
"р.Нижняя Ельцовка, г.Новосибирск",Новосибирская область,Ионы марганца,65.0,2010,4
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ртуть,6.0,2010,6
"р.Чапаевка, г.Чапаевск",Самарская область,ГХЦГ,6.0,2010,6
"р. Белая, г. Апатиты",Мурманская область,Молибден,10.0,2010,6
"р. Блява,  | г. Медногорск",Оренбургская область,Медь,65.0,2010,6
"р. Малый Бачат,  | г. Гурьевск",Кемеровская область – Кузбасс,Цинк,60.0,2010,6
"р. Силинка,  | п. Горный",Хабаровский край,Медь,62.0,2010,6
"р. Силинка,  | рп. Солнечный",Хабаровский край,Медь,51.0,2010,6
"р. Тартас,  | с. Северное",Новосибирская область,Цинк,88.0,2010,6
р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Железо общее,78.0,2010,6
"р. Ельцовка 1,  | г. Новосибирск",Новосибирская область,Марганец,55.0,2010,6
"р. Исеть,  | г. К-Уральский",Свердловская область,Взвешенные вещества,104.0,2010,6
"р. Исеть, |  г. Шадринск",Курганская область,Взвешенные вещества,58.0,2010,6
"р. Мезень,  | д. Малонисогорская",Архангельская область,Марганец,193.0,2010,6
"р. Нейва, г. Невьянск",Свердловская область,Взвешенные вещества,177.0,2010,6
"р. Ница, г. Ирбит",Свердловская область,Взвешенные вещества,86.0,2010,6
"р. Ница,  | с. Краснослободское",Свердловская область,Взвешенные вещества,93.0,2010,6
